#channel,mean,dev,hits_per_channel,hits_per_packet,photo_e,gain_pmt,rate_per_channel,gain_constant,normalized_rate
1,1587.930023,42.824576,443.000000,14655.000000,0.865855,26592192.108445,0.805651,16,0.000000
2,45.197719,35.511136,263.000000,2557.000000,0.035842,18285090.951149,0.478298,13,0.000000
3,48.860806,35.676647,273.000000,865.000000,0.038388,18455935.179595,0.496485,18,0.000000
4,50.883721,29.392935,215.000000,326.000000,0.058897,12527196.971336,0.391004,15,0.000000
5,45.611814,35.408901,237.000000,136.000000,0.036379,18179958.482437,0.431014,17,0.000000
6,48.556098,31.413886,205.000000,63.000000,0.049204,14309067.174301,0.372818,19,0.000000
7,49.528302,28.319563,159.000000,35.000000,0.061756,11628965.586804,0.289161,10,0.000000
8,47.055215,26.295221,163.000000,13.000000,0.068054,10025860.702322,0.296436,10,0.000000
9,48.138393,39.210325,448.000000,4.000000,0.031311,22293019.162548,0.814744,11,0.000000
10,51.304569,44.889245,394.000000,3.000000,0.025461,29218142.260816,0.716538,20,0.000000
11,50.212851,41.213360,498.000000,4.000000,0.029562,24628845.075079,0.905675,17,0.000000
12,48.066832,30.754022,404.000000,7.000000,0.050821,13714243.404446,0.734724,16,0.000000
13,53.191693,39.233735,313.000000,0.000000,0.034556,22319646.092131,0.569230,13,0.000000
14,55.420354,36.104878,226.000000,1.000000,0.042515,18901652.488449,0.411009,14,0.000000
15,47.773756,30.425243,221.000000,1.000000,0.051609,13422583.587560,0.401916,15,0.000000
16,54.868056,30.333619,144.000000,3.000000,0.059631,13341862.147955,0.261882,16,0.000000
17,54.485577,40.830381,416.000000,1.000000,0.032682,24173239.772097,0.756548,17,0.000000
18,54.337526,47.981580,477.000000,1.000000,0.023602,33382363.826150,0.867484,18,0.000000
19,59.827493,45.303022,371.000000,1.000000,0.029151,29759274.700126,0.674710,19,0.000000
20,54.400794,31.368807,252.000000,0.000000,0.055285,14268029.911502,0.458293,20,0.000000
21,62.418972,48.217048,253.000000,0.000000,0.026848,33710814.385477,0.460112,11,0.000000
22,53.830935,32.963303,278.000000,1.000000,0.049542,15755400.296310,0.505578,12,0.000000
23,54.297619,47.418672,168.000000,0.000000,0.024148,32603691.822562,0.305529,13,0.000000
24,52.494118,22.904212,85.000000,0.000000,0.100064,7606742.145329,0.154583,14,0.000000
