#channel,mean,rate_per_channel
1,35.8331516467608,184.2
2,36.9027691032654,201.1
3,38.6096168582376,208.8
4,42.7145332290852,213.166666666667
5,41.5692736978324,206.066666666667
6,39.2555702199662,206.85
7,34.8495306381896,196.65
8,28.7384097959998,167.075
9,42.2481091961254,198.725
10,59.0400269763956,222.416666666667
11,67.6878149596591,236.525
12,61.6040855066269,233.9
13,60.5519141390573,232.158333333333
14,59.2875429933473,234.241666666667
15,52.135349789724,227.875
16,38.3040397402263,193.758333333333
17,46.0464679947093,207.908333333333
18,66.3963662983036,236.783333333333
19,62.8712186448481,235.275
20,63.0188893587032,236.5
21,63.5565692492407,235.983333333333
22,63.7787753143497,237.925
23,53.2957543395118,226.6
24,38.1148076109937,189.2
25,48.525802066516,206.466666666667
26,63.9417633656585,231.158333333333
27,61.121207449751,225.958333333333
28,60.3789053596039,223.741666666667
29,60.572844270323,229.725
30,58.2780316568803,228.491666666667
31,53.3549313948554,216.091666666667
32,38.548207845045,188.441666666667
33,49.8281554478722,173.691666666667
34,67.7165018400803,199.266666666667
35,64.367039621051,207.591666666667
36,66.6528822628736,206.816666666667
37,61.5760041744937,199.625
38,60.0640312632025,197.25
39,54.7002278961807,197.458333333333
40,43.8996822860655,162.725
41,50.7470172978028,178.25
42,74.0340885114725,204.116666666667
43,69.9218744430943,205.75
44,68.5222278588198,216.508333333333
45,63.697049979683,205.083333333333
46,64.8438657565416,205.1
47,59.9761451148827,199.841666666667
48,47.0587942051996,167.966666666667
49,47.2425141669814,176.466666666667
50,64.630546730761,195.891666666667
51,68.5935835408515,210.825
52,66.9904486343334,210.825
53,65.4318691180557,209.858333333333
54,60.9361985939546,209.808333333333
55,57.2750683362536,194.991666666667
56,48.3667215392838,155.916666666667
57,46.8286783908552,151.633333333333
58,45.4835674680204,167.425
59,46.8671643261887,169.125
60,48.0834245699785,177.316666666667
61,47.7253183029864,184.441666666667
62,45.3981662310508,159.416666666667
63,38.5716943860039,150.516666666667
64,34.3668633540373,118.066666666667
