#channel,mean,dev,hits_per_channel,hits_per_packet,photo_e,gain_pmt,rate_per_channel,gain_constant,normalized_rate
1,1591.112429,34.139125,1939.000000,66077.000000,1.365199,16899458.283474,0.762561,16,0.000000
2,45.805071,29.595209,1262.000000,11765.000000,0.052296,12700208.153234,0.496313,13,0.000000
3,46.430403,31.500970,1092.000000,3961.000000,0.046790,14388510.809551,0.429457,18,0.000000
4,46.590610,28.609127,1065.000000,1516.000000,0.056923,11867991.397650,0.418838,15,0.000000
5,44.495403,28.583350,979.000000,608.000000,0.054461,11846614.479139,0.385016,17,0.000000
6,44.868526,25.074881,1004.000000,249.000000,0.071362,9116869.879050,0.394848,19,0.000000
7,49.755435,29.055699,736.000000,108.000000,0.058936,12241388.158672,0.289451,10,0.000000
8,50.053616,27.188927,802.000000,49.000000,0.067710,10718947.718764,0.315407,10,0.000000
9,48.905216,41.365261,1994.000000,36.000000,0.028581,24810729.560421,0.784191,11,0.000000
10,49.959543,37.587667,2101.000000,19.000000,0.035361,20486074.553470,0.826271,20,0.000000
11,48.691210,36.727788,2173.000000,13.000000,0.036096,19559491.086376,0.854587,17,0.000000
12,47.319277,33.962442,1660.000000,4.000000,0.041024,16724988.165917,0.652837,16,0.000000
13,50.670330,38.132540,1365.000000,10.000000,0.034847,21084313.480659,0.536821,13,0.000000
14,52.718349,32.163124,1090.000000,6.000000,0.050962,14999764.888898,0.428670,14,0.000000
15,50.146570,42.667383,962.000000,5.000000,0.027545,26397330.393303,0.378331,15,0.000000
16,55.024590,30.352806,610.000000,1.000000,0.059725,13358746.150228,0.239898,16,0.000000
17,55.253599,42.450465,1806.000000,1.000000,0.030662,26129608.996835,0.710255,17,0.000000
18,52.145480,40.323434,2179.000000,2.000000,0.032070,23576699.771969,0.856947,18,0.000000
19,58.704250,43.588345,1694.000000,0.000000,0.030898,27549185.375602,0.666208,19,0.000000
20,54.958475,37.780555,1180.000000,0.000000,0.038503,20696869.488294,0.464065,20,0.000000
21,58.679604,37.005140,1211.000000,1.000000,0.042851,19856016.061141,0.476256,11,0.000000
22,54.447345,34.138368,1111.000000,0.000000,0.046719,16898708.109965,0.436929,12,0.000000
23,55.530364,36.088147,741.000000,0.000000,0.042638,18884137.946860,0.291417,13,0.000000
24,53.388286,28.987898,461.000000,3.000000,0.063535,12184324.734967,0.181300,14,0.000000
25,56.993969,43.631254,1658.000000,1.000000,0.029939,27603451.824760,0.652050,15,0.000000
26,60.304582,46.786715,1855.000000,0.000000,0.027549,31740452.404443,0.729526,16,0.000000
27,56.135318,41.152205,1478.000000,0.000000,0.033147,24555808.239383,0.581261,17,0.000000
28,56.353222,42.638358,1257.000000,0.000000,0.030997,26361428.764551,0.494347,12,0.000000
29,65.112500,38.279710,880.000000,1.000000,0.044435,21247375.007102,0.346082,14,0.000000
30,64.933884,37.591357,847.000000,0.000000,0.045951,20490097.183057,0.333104,16,0.000000
31,58.464630,30.161322,622.000000,0.000000,0.064268,13190727.438974,0.244617,11,0.000000
32,57.885993,31.968073,307.000000,0.000000,0.056642,14818386.455029,0.120736,12,0.000000
33,65.171572,44.799065,1393.000000,0.000000,0.032473,29100864.979703,0.547832,14,0.000000
34,73.239224,52.813332,1392.000000,0.000000,0.026258,40444097.274605,0.547439,16,0.000000
35,65.934162,47.728690,1367.000000,0.000000,0.028944,33031403.863885,0.537607,15,0.000000
36,62.556286,42.041342,1217.000000,0.000000,0.035393,25628379.391110,0.478616,16,0.000000
37,62.056054,37.246199,892.000000,0.000000,0.044732,20115550.853124,0.350802,12,0.000000
38,65.120510,40.185137,863.000000,0.000000,0.040326,23415256.397621,0.339397,14,0.000000
39,67.274854,38.397232,513.000000,0.000000,0.045630,21378038.131391,0.201750,11,0.000000
40,58.240246,28.516103,487.000000,0.000000,0.071621,11790938.238134,0.191525,10,0.000000
41,80.539485,57.665738,1203.000000,0.000000,0.024220,48217392.086423,0.473110,11,0.000000
42,77.471952,57.973346,1337.000000,0.000000,0.023051,48733179.038124,0.525809,13,0.000000
43,85.734300,55.507809,1035.000000,0.000000,0.027826,44676194.221569,0.407040,15,0.000000
44,68.200720,44.044923,1111.000000,0.000000,0.035156,28129350.559538,0.436929,16,0.000000
45,70.372845,42.192077,928.000000,0.000000,0.039532,25812484.307651,0.364959,15,0.000000
46,199.061290,209.642591,4030.000000,0.000000,0.004529,637275229.773873,1.584899,16,0.000000
47,58.700565,26.830408,354.000000,0.000000,0.081543,10438126.464298,0.139219,17,0.000000
48,129.586365,135.364419,3491.000000,0.000000,0.007072,265691124.694666,1.372924,17,0.000000
49,515.086879,433.626633,3902.000000,0.000000,0.002739,2726464823.282578,1.534560,14,0.000000
50,478.020574,411.480304,4423.000000,0.000000,0.002823,2455082587.237677,1.739457,10,0.000000
51,462.511941,403.926787,4229.000000,0.000000,0.002835,2365774311.274755,1.663161,15,0.000000
52,446.616631,391.057931,4257.000000,0.000000,0.002920,2217431429.167527,1.674173,12,0.000000
53,412.479318,382.025365,4279.000000,0.000000,0.002826,2116178999.493878,1.682825,13,0.000000
54,378.737701,366.683354,4106.000000,0.000000,0.002817,1949621889.748295,1.614788,14,0.000000
55,405.393750,385.526610,4320.000000,0.000000,0.002728,2155146120.799331,1.698949,15,0.000000
56,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,16,0.000000
57,306.508049,307.364460,3541.000000,0.000000,0.003244,1369857214.289446,1.392588,17,0.000000
58,130.996827,139.746146,3152.000000,0.000000,0.006708,283170288.242378,1.239604,13,0.000000
59,126.406170,117.564061,2723.000000,0.000000,0.009146,200408971.816772,1.070889,17,0.000000
60,124.095009,123.978211,2705.000000,0.000000,0.008074,222873654.879135,1.063810,16,0.000000
61,123.167442,123.315965,3010.000000,0.000000,0.008099,220498993.134513,1.183759,11,0.000000
62,112.082805,108.747951,2838.000000,0.000000,0.009478,171478693.919193,1.116115,12,0.000000
63,119.512177,120.356571,2628.000000,0.000000,0.008250,210042710.749648,1.033527,13,0.000000
64,105.618315,103.715443,2599.000000,0.000000,0.009819,155974951.073170,1.022122,16,0.000000
