#x,y,mean,dev,hits_per_channel,hits_per_packet,photo_e,gain_pmt,norm_mean
0.500000,0.500000,1592.644383,38.416561,1451.000000,51461.000000,1.079150,21399566.695371,0.000000
0.500000,1.500000,44.644105,33.830653,916.000000,9064.000000,0.039007,16595439.610705,0.000000
0.500000,2.500000,48.670718,46.428057,905.000000,2997.000000,0.022579,31255685.274564,0.000000
0.500000,3.500000,50.505455,65.218460,825.000000,1134.000000,0.011874,61674989.417080,0.000000
0.500000,4.500000,47.355932,37.399807,767.000000,483.000000,0.033856,20281810.355115,0.000000
0.500000,5.500000,48.869622,48.414671,767.000000,214.000000,0.020849,33987715.712855,0.000000
0.500000,6.500000,50.435714,41.756858,560.000000,101.000000,0.028926,25282709.719388,0.000000
0.500000,7.500000,48.949287,34.269519,631.000000,36.000000,0.041680,17028799.475589,0.000000
0.500000,8.500000,47.320504,36.998602,1429.000000,28.000000,0.034568,19849000.373646,0.000000

1.500000,0.500000,47.320504,36.998602,1429.000000,28.000000,0.034568,19849000.373646,0.000000
1.500000,1.500000,48.558199,36.384827,1555.000000,15.000000,0.036679,19195906.432729,0.000000
1.500000,2.500000,50.937426,41.901113,1694.000000,4.000000,0.029013,25457697.652943,0.000000
1.500000,3.500000,49.438744,40.079416,1306.000000,6.000000,0.030777,23292213.777441,0.000000
1.500000,4.500000,48.367730,32.898472,1066.000000,6.000000,0.044689,15693486.701351,0.000000
1.500000,5.500000,55.219976,38.449626,841.000000,3.000000,0.037352,21436419.041371,0.000000
1.500000,6.500000,50.942602,38.198034,784.000000,1.000000,0.034914,21156802.356928,0.000000
1.500000,7.500000,56.354962,31.813147,524.000000,2.000000,0.055683,14675106.236525,0.000000
1.500000,8.500000,56.596100,44.719940,1436.000000,2.000000,0.028300,28998159.612356,0.000000

2.500000,0.500000,56.596100,44.719940,1436.000000,2.000000,0.028300,28998159.612356,0.000000
2.500000,1.500000,52.725061,45.871897,1644.000000,1.000000,0.025057,30511349.178018,0.000000
2.500000,2.500000,59.013720,48.533068,1312.000000,3.000000,0.025054,34154150.471957,0.000000
2.500000,3.500000,55.810811,42.704236,925.000000,1.000000,0.030604,26442950.737765,0.000000
2.500000,4.500000,59.963001,43.892500,973.000000,1.000000,0.031125,27934997.622340,0.000000
2.500000,5.500000,54.935252,38.656430,834.000000,0.000000,0.036763,21667633.455825,0.000000
2.500000,6.500000,54.674912,38.215314,566.000000,0.000000,0.037438,21175948.170161,0.000000
2.500000,7.500000,58.018817,43.095632,372.000000,0.000000,0.031239,26929885.994768,0.000000
