#x,y,mean,dev,hits_per_channel,hits_per_packet,photo_e,gain_pmt,norm_mean
0.500000,0.500000,1602.124786,42.542127,585.000000,26532.000000,0.885234,26242572.418478,0.000000
0.500000,1.500000,67.410000,61.929734,600.000000,3917.000000,0.017576,55611732.550000,0.000000
0.500000,2.500000,69.882075,68.801695,636.000000,1053.000000,0.014763,68638261.410496,0.000000
0.500000,3.500000,47.064275,60.086599,669.000000,463.000000,0.013036,52350791.117690,0.000000
0.500000,4.500000,51.905901,63.955617,627.000000,170.000000,0.012690,59309653.542472,0.000000
0.500000,5.500000,45.781874,67.069538,651.000000,81.000000,0.010178,65225682.468231,0.000000
0.500000,6.500000,51.331200,63.911044,625.000000,33.000000,0.012567,59227011.845120,0.000000
0.500000,7.500000,47.847426,59.613312,544.000000,19.000000,0.013464,51529330.657642,0.000000
0.500000,8.500000,52.579832,60.839675,595.000000,17.000000,0.014205,53671258.200383,0.000000

1.500000,0.500000,52.579832,60.839675,595.000000,17.000000,0.014205,53671258.200383,0.000000
1.500000,1.500000,83.352365,80.882973,613.000000,4.000000,0.012741,94859801.617483,0.000000
1.500000,2.500000,73.503737,65.874447,669.000000,4.000000,0.016939,62921920.761639,0.000000
1.500000,3.500000,62.045249,73.619205,663.000000,2.000000,0.011448,78586916.937538,0.000000
1.500000,4.500000,67.002959,56.476130,676.000000,1.000000,0.021007,46248522.062428,0.000000
1.500000,5.500000,45.168971,68.130228,651.000000,1.000000,0.009731,67305055.342976,0.000000
1.500000,6.500000,64.996937,67.837591,653.000000,0.000000,0.014124,66728111.655711,0.000000
1.500000,7.500000,58.563492,61.889930,630.000000,1.000000,0.015289,55540269.721592,0.000000
1.500000,8.500000,68.801336,77.021357,599.000000,1.000000,0.011598,86018196.501682,0.000000

2.500000,0.500000,68.801336,77.021357,599.000000,1.000000,0.011598,86018196.501682,0.000000
2.500000,1.500000,70.489706,59.803845,680.000000,1.000000,0.019709,51859248.463452,0.000000
2.500000,2.500000,68.176471,74.775827,663.000000,0.000000,0.012193,81075653.269453,0.000000
2.500000,3.500000,55.075929,62.572342,619.000000,0.000000,0.014067,56771820.281814,0.000000
2.500000,4.500000,49.038462,71.493101,650.000000,0.000000,0.009594,74113320.588302,0.000000
2.500000,5.500000,71.791667,70.046149,624.000000,0.000000,0.014632,71143713.608440,0.000000
2.500000,6.500000,65.492462,71.470428,597.000000,0.000000,0.012821,74066320.993578,0.000000
2.500000,7.500000,65.605787,73.012868,553.000000,0.000000,0.012307,77297744.830924,0.000000
2.500000,8.500000,45.774671,68.631048,608.000000,0.000000,0.009718,68298201.574826,0.000000

3.500000,0.500000,45.774671,68.631048,608.000000,0.000000,0.009718,68298201.574826,0.000000
3.500000,1.500000,64.182648,80.629356,657.000000,0.000000,0.009873,94265848.084902,0.000000
3.500000,2.500000,62.068362,67.240050,629.000000,0.000000,0.013728,65557751.790133,0.000000
3.500000,3.500000,48.265378,53.547196,569.000000,0.000000,0.016833,41575881.292064,0.000000
3.500000,4.500000,62.440559,71.659853,572.000000,0.000000,0.012159,74459451.391266,0.000000
3.500000,5.500000,48.089376,55.398831,593.000000,0.000000,0.015669,44500942.259551,0.000000
3.500000,6.500000,52.950719,53.173090,487.000000,0.000000,0.018728,40996972.998157,0.000000
3.500000,7.500000,51.189895,57.743188,574.000000,0.000000,0.015353,48346998.902803,0.000000
3.500000,8.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000

4.500000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4.500000,1.500000,48.083799,33.554737,179.000000,0.000000,0.042706,16325845.104710,0.000000
4.500000,2.500000,139.151592,158.540682,785.000000,0.000000,0.005536,364459641.945718,0.000000
4.500000,3.500000,321.439083,315.411425,829.000000,0.000000,0.003231,1442523320.287933,0.000000
4.500000,4.500000,335.444056,339.679055,858.000000,0.000000,0.002907,1673036978.540279,0.000000
4.500000,5.500000,311.354726,330.516781,857.000000,0.000000,0.002850,1583999464.145050,0.000000
4.500000,6.500000,325.645509,330.401692,835.000000,0.000000,0.002983,1582896529.969522,0.000000
4.500000,7.500000,315.048122,330.641710,852.000000,0.000000,0.002882,1585197132.501680,0.000000
4.500000,8.500000,336.352217,363.535498,812.000000,0.000000,0.002545,1916291844.035891,0.000000

5.500000,0.500000,336.352217,363.535498,812.000000,0.000000,0.002545,1916291844.035891,0.000000
5.500000,1.500000,415.792784,405.083519,970.000000,0.000000,0.002534,2379343527.389203,0.000000
5.500000,2.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.500000,3.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.500000,4.500000,115.936031,139.615276,766.000000,0.000000,0.005948,282640168.472926,0.000000
5.500000,5.500000,123.602067,138.101147,774.000000,0.000000,0.006481,276542940.351475,0.000000
5.500000,6.500000,95.256858,123.518145,802.000000,0.000000,0.006244,221222616.789954,0.000000
5.500000,7.500000,122.316384,133.232387,708.000000,0.000000,0.006891,257387598.000255,0.000000
5.500000,8.500000,98.265141,117.581785,743.000000,0.000000,0.007108,200469403.935158,0.000000

6.500000,0.500000,98.265141,117.581785,743.000000,0.000000,0.007108,200469403.935158,0.000000
6.500000,1.500000,122.047368,125.706207,760.000000,0.000000,0.007724,229129730.623269,0.000000
6.500000,2.500000,113.679767,148.433771,687.000000,0.000000,0.005160,319472475.192227,0.000000
6.500000,3.500000,83.849246,116.174950,796.000000,0.000000,0.006213,195700976.375305,0.000000
6.500000,4.500000,101.645202,131.099090,792.000000,0.000000,0.005914,249211084.438928,0.000000
6.500000,5.500000,120.350682,153.542465,807.000000,0.000000,0.005105,341841682.129262,0.000000
6.500000,6.500000,102.806173,132.911701,810.000000,0.000000,0.005820,256150044.653639,0.000000
6.500000,7.500000,83.804110,102.750115,730.000000,0.000000,0.007938,153084998.566938,0.000000
6.500000,8.500000,114.195122,97.325916,656.000000,0.000000,0.012056,137348841.240333,0.000000

7.500000,0.500000,114.195122,97.325916,656.000000,0.000000,0.012056,137348841.240333,0.000000
7.500000,1.500000,100.920341,102.750866,703.000000,0.000000,0.009559,153087236.582094,0.000000
7.500000,2.500000,109.401947,99.708510,719.000000,0.000000,0.011004,144155911.182855,0.000000
7.500000,3.500000,97.493469,118.637917,689.000000,0.000000,0.006927,204086852.247952,0.000000
7.500000,4.500000,109.789400,141.911444,717.000000,0.000000,0.005452,292013441.271842,0.000000
7.500000,5.500000,112.808989,125.029704,712.000000,0.000000,0.007216,226670191.468880,0.000000
7.500000,6.500000,83.029096,114.467061,653.000000,0.000000,0.006337,189989266.296279,0.000000
7.500000,7.500000,102.257058,99.814289,673.000000,0.000000,0.010264,144461938.588609,0.000000
7.500000,8.500000,0,0,0,0,0,0,0

8.500000,0.500000,0,0,0,0,0,0,0
8.500000,1.500000,0,0,0,0,0,0,0
8.500000,2.500000,0,0,0,0,0,0,0
8.500000,3.500000,0,0,0,0,0,0,0
8.500000,4.500000,0,0,0,0,0,0,0
8.500000,5.500000,0,0,0,0,0,0,0
8.500000,6.500000,0,0,0,0,0,0,0
8.500000,7.500000,0,0,0,0,0,0,0
8.500000,8.500000,0,0,0,0,0,0,0

