#channel,mean,dev,hits_per_channel,hits_per_packet,photo_e,gain_pmt,rate_per_channel,gain_constant,normalized_rate
1,1602.124786,42.542127,585.000000,26532.000000,0.885234,26242572.418478,1.063895,16,0.000000
2,67.410000,61.929734,600.000000,3917.000000,0.017576,55611732.550000,1.091174,13,0.000000
3,69.882075,68.801695,636.000000,1053.000000,0.014763,68638261.410496,1.156644,18,0.000000
4,47.064275,60.086599,669.000000,463.000000,0.013036,52350791.117690,1.216659,15,0.000000
5,51.905901,63.955617,627.000000,170.000000,0.012690,59309653.542472,1.140277,17,0.000000
6,45.781874,67.069538,651.000000,81.000000,0.010178,65225682.468231,1.183924,19,0.000000
7,51.331200,63.911044,625.000000,33.000000,0.012567,59227011.845120,1.136640,10,0.000000
8,47.847426,59.613312,544.000000,19.000000,0.013464,51529330.657642,0.989331,10,0.000000
9,52.579832,60.839675,595.000000,17.000000,0.014205,53671258.200383,1.082081,11,0.000000
10,83.352365,80.882973,613.000000,4.000000,0.012741,94859801.617483,1.114816,20,0.000000
11,73.503737,65.874447,669.000000,4.000000,0.016939,62921920.761639,1.216659,17,0.000000
12,62.045249,73.619205,663.000000,2.000000,0.011448,78586916.937538,1.205747,16,0.000000
13,67.002959,56.476130,676.000000,1.000000,0.021007,46248522.062428,1.229389,13,0.000000
14,45.168971,68.130228,651.000000,1.000000,0.009731,67305055.342976,1.183924,14,0.000000
15,64.996937,67.837591,653.000000,0.000000,0.014124,66728111.655711,1.187561,15,0.000000
16,58.563492,61.889930,630.000000,1.000000,0.015289,55540269.721592,1.145733,16,0.000000
17,68.801336,77.021357,599.000000,1.000000,0.011598,86018196.501682,1.089355,17,0.000000
18,70.489706,59.803845,680.000000,1.000000,0.019709,51859248.463452,1.236664,18,0.000000
19,68.176471,74.775827,663.000000,0.000000,0.012193,81075653.269453,1.205747,19,0.000000
20,55.075929,62.572342,619.000000,0.000000,0.014067,56771820.281814,1.125728,20,0.000000
21,49.038462,71.493101,650.000000,0.000000,0.009594,74113320.588302,1.182105,11,0.000000
22,71.791667,70.046149,624.000000,0.000000,0.014632,71143713.608440,1.134821,12,0.000000
23,65.492462,71.470428,597.000000,0.000000,0.012821,74066320.993578,1.085718,13,0.000000
24,65.605787,73.012868,553.000000,0.000000,0.012307,77297744.830924,1.005699,14,0.000000
25,45.774671,68.631048,608.000000,0.000000,0.009718,68298201.574826,1.105723,15,0.000000
26,64.182648,80.629356,657.000000,0.000000,0.009873,94265848.084902,1.194835,16,0.000000
27,62.068362,67.240050,629.000000,0.000000,0.013728,65557751.790133,1.143914,17,0.000000
28,48.265378,53.547196,569.000000,0.000000,0.016833,41575881.292064,1.034797,12,0.000000
29,62.440559,71.659853,572.000000,0.000000,0.012159,74459451.391266,1.040252,14,0.000000
30,48.089376,55.398831,593.000000,0.000000,0.015669,44500942.259551,1.078444,16,0.000000
31,52.950719,53.173090,487.000000,0.000000,0.018728,40996972.998157,0.885670,11,0.000000
32,51.189895,57.743188,574.000000,0.000000,0.015353,48346998.902803,1.043890,12,0.000000
33,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,14,0.000000
34,48.083799,33.554737,179.000000,0.000000,0.042706,16325845.104710,0.325534,16,0.000000
35,139.151592,158.540682,785.000000,0.000000,0.005536,364459641.945718,1.427619,15,0.000000
36,321.439083,315.411425,829.000000,0.000000,0.003231,1442523320.287933,1.507639,16,0.000000
37,335.444056,339.679055,858.000000,0.000000,0.002907,1673036978.540279,1.560379,12,0.000000
