#channel,mean,dev,hits_per_channel,hits_per_packet,photo_e,gain_pmt,rate_per_channel,gain_constant,normalized_rate
1,38.289870,33.488725,1994.000000,107560.000000,0.034142,16261673.321368,0.659352,16,0.000000
2,39.536467,32.524008,2468.000000,15886.000000,0.037376,15338260.498727,0.816088,13,0.000000
3,44.268210,38.183115,2073.000000,4126.000000,0.030363,21140278.672636,0.685474,18,0.000000
4,45.867490,42.917524,2347.000000,1392.000000,0.024902,26707750.723485,0.776077,15,0.000000
5,45.161570,39.621629,2191.000000,448.000000,0.028768,22763165.522997,0.724493,17,0.000000
6,42.288338,39.449860,2341.000000,187.000000,0.027173,22566226.565025,0.774093,19,0.000000
7,44.483244,37.107186,2059.000000,92.000000,0.032306,19965677.267099,0.680845,10,0.000000
8,45.176337,34.408568,1758.000000,43.000000,0.038157,17167268.695293,0.581314,10,0.000000
9,43.570700,39.654783,2157.000000,29.000000,0.027708,22801276.675717,0.713250,11,0.000000
10,47.675755,40.325513,2384.000000,24.000000,0.029318,23579130.956499,0.788312,20,0.000000
11,45.245794,39.844210,2140.000000,13.000000,0.028500,23019635.666434,0.707629,17,0.000000
12,48.129979,45.538721,2385.000000,11.000000,0.023209,30069739.515402,0.788643,16,0.000000
13,47.271628,40.133100,2150.000000,4.000000,0.029349,23354653.420876,0.710936,13,0.000000
14,48.590449,41.924399,2073.000000,4.000000,0.027645,25486000.828654,0.685474,14,0.000000
15,47.321171,43.489323,2083.000000,2.000000,0.025020,27424157.934209,0.688781,15,0.000000
16,48.991786,41.564328,1948.000000,3.000000,0.028358,25050103.744587,0.644141,16,0.000000
17,45.302337,38.628914,2011.000000,2.000000,0.030360,21636798.903890,0.664973,17,0.000000
18,50.540665,45.784078,2164.000000,1.000000,0.024111,30394636.141823,0.715565,18,0.000000
19,48.702075,41.980735,2024.000000,1.000000,0.027634,25554540.313057,0.669272,19,0.000000
20,46.646163,37.736800,1772.000000,1.000000,0.032756,20648958.570330,0.585943,20,0.000000
21,48.662243,45.288235,2336.000000,0.000000,0.023726,29739850.767451,0.772440,11,0.000000
22,51.251432,39.703329,1746.000000,0.000000,0.032513,22857137.463113,0.577346,12,0.000000
23,49.022982,42.083880,1871.000000,0.000000,0.027680,25680267.327898,0.618679,13,0.000000
24,47.118079,37.332952,1770.000000,1.000000,0.033807,20209365.345367,0.585282,14,0.000000
25,47.844538,40.793907,1904.000000,0.000000,0.028750,24130071.300579,0.629592,15,0.000000
26,47.016411,35.938484,1889.000000,1.000000,0.036402,18727832.251639,0.624632,16,0.000000
27,47.384768,39.452701,2022.000000,0.000000,0.030443,22569476.971905,0.668610,17,0.000000
28,46.791713,36.893295,1810.000000,0.000000,0.034377,19736170.109124,0.598509,12,0.000000
29,51.800338,49.677467,1773.000000,0.000000,0.020990,35783835.384690,0.586274,14,0.000000
30,47.636848,41.202226,1688.000000,0.000000,0.028061,24615540.063081,0.558167,16,0.000000
31,56.766983,41.881012,1266.000000,0.000000,0.032364,25433277.857952,0.418625,11,0.000000
32,49.687581,37.601489,1546.000000,0.000000,0.035143,20501143.902011,0.511212,12,0.000000
33,45.867492,35.420391,1615.000000,0.000000,0.036559,18191759.646119,0.534029,14,0.000000
34,49.711356,41.388090,1902.000000,1.000000,0.029020,24838122.898609,0.628930,16,0.000000
35,55.236825,42.714844,1575.000000,0.000000,0.030274,26456089.288788,0.520802,15,0.000000
36,48.855937,37.015095,1659.000000,1.000000,0.035658,19866700.573088,0.548578,16,0.000000
37,50.904094,39.395265,1783.000000,0.000000,0.032799,22503809.703660,0.589581,12,0.000000
38,49.484321,35.667418,1435.000000,0.000000,0.038898,18446388.682635,0.474508,14,0.000000
39,53.468160,41.493835,1696.000000,0.000000,0.031055,24965206.408948,0.560813,11,0.000000
40,55.024903,42.615992,1807.000000,0.000000,0.030298,26333780.437572,0.597517,10,0.000000
41,53.869511,40.602828,1617.000000,1.000000,0.032676,23904549.950682,0.534690,11,0.000000
42,50.429697,42.009829,2411.000000,0.000000,0.028575,25589973.076875,0.797240,13,0.000000
43,56.777397,48.057181,1752.000000,0.000000,0.024584,33487643.939216,0.579330,15,0.000000
44,59.048736,45.397158,1662.000000,0.000000,0.028652,29883078.374865,0.549570,16,0.000000
45,57.137073,52.709230,1729.000000,0.000000,0.020566,40284811.710283,0.571725,15,0.000000
46,205.735849,243.075506,4876.000000,0.000000,0.003482,856742675.495689,1.612336,16,0.000000
47,73.625000,9.472823,8.000000,0.000000,0.820477,1301148.437500,0.002645,17,0.000000
48,80.475344,92.049818,3995.000000,0.000000,0.009498,122860951.103961,1.321018,17,0.000000
49,348.799611,360.219559,4631.000000,0.000000,0.002688,1881492891.291267,1.531323,14,0.000000
50,368.461954,382.262453,4994.000000,0.000000,0.002522,2118806458.637209,1.651355,10,0.000000
51,374.605535,388.708866,5131.000000,0.000000,0.002479,2190871448.497507,1.696657,15,0.000000
52,338.602574,365.179872,4972.000000,0.000000,0.002539,1933666918.938495,1.644080,12,0.000000
53,359.387696,387.379699,5169.000000,0.000000,0.002395,2175913954.601112,1.709222,13,0.000000
54,354.011734,371.468128,4943.000000,0.000000,0.002566,2000834270.307889,1.634491,14,0.000000
55,342.943730,369.318976,4976.000000,0.000000,0.002514,1977749338.131715,1.645403,15,0.000000
56,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,16,0.000000
57,182.995081,213.429592,4269.000000,0.000000,0.004017,660506767.861820,1.411621,17,0.000000
58,95.394092,109.898479,3961.000000,0.000000,0.007898,175126299.019326,1.309775,13,0.000000
59,105.079773,115.991276,4049.000000,0.000000,0.007810,195082653.466083,1.338874,17,0.000000
60,107.815002,123.821880,4146.000000,0.000000,0.007032,222311940.436402,1.370949,16,0.000000
61,107.304737,123.752538,4243.000000,0.000000,0.007007,222063016.293740,1.403024,11,0.000000
62,107.223503,124.766019,3991.000000,0.000000,0.006888,225715111.554430,1.319695,12,0.000000
63,103.468043,117.825459,4021.000000,0.000000,0.007453,201301163.785303,1.329615,13,0.000000
64,96.577560,109.357179,3681.000000,0.000000,0.008076,173405394.062523,1.217188,16,0.000000
