#x,y,mean,dev,hits_per_channel,hits_per_packet,photo_e,gain_pmt,norm_mean
0.500000,0.500000,1563.866736,35.181858,2889.000000,140633.000000,1.263462,17947565.438952,0.000000
0.500000,1.500000,12.218733,30.776215,3598.000000,24573.000000,0.012900,13734043.428068,0.000000
0.500000,2.500000,14.094979,35.605049,3864.000000,7995.000000,0.011118,18381932.906660,0.000000
0.500000,3.500000,17.228487,39.377503,4044.000000,3597.000000,0.011111,22483522.019727,0.000000
0.500000,4.500000,15.500413,32.391854,3635.000000,1751.000000,0.014773,15213867.091532,0.000000
0.500000,5.500000,9.728666,23.659781,3328.000000,868.000000,0.017379,8116885.912091,0.000000
0.500000,6.500000,11.471469,26.873386,3207.000000,426.000000,0.015885,10471593.825306,0.000000
0.500000,7.500000,10.987711,23.676642,2604.000000,218.000000,0.019600,8128458.831830,0.000000
0.500000,8.500000,12.392857,31.011246,3612.000000,142.000000,0.012886,13944611.880643,0.000000

1.500000,0.500000,12.392857,31.011246,3612.000000,142.000000,0.012886,13944611.880643,0.000000
1.500000,1.500000,42.090458,56.363479,4433.000000,79.000000,0.013249,46064205.055592,0.000000
1.500000,2.500000,20.797122,48.157075,4308.000000,34.000000,0.008968,33627005.892622,0.000000
1.500000,3.500000,13.735191,38.055789,4271.000000,23.000000,0.009484,20999524.706230,0.000000
1.500000,4.500000,37.974392,42.251569,3866.000000,15.000000,0.021272,25885328.709699,0.000000
1.500000,5.500000,10.701745,27.123461,3782.000000,11.000000,0.014547,10667390.924607,0.000000
1.500000,6.500000,12.687841,30.233781,3668.000000,13.000000,0.013880,13254182.236564,0.000000
1.500000,7.500000,11.839246,23.584884,2706.000000,11.000000,0.021284,8065577.950624,0.000000
1.500000,8.500000,16.902866,42.093472,3768.000000,9.000000,0.009540,25691975.811827,0.000000

2.500000,0.500000,16.902866,42.093472,3768.000000,9.000000,0.009540,25691975.811827,0.000000
2.500000,1.500000,24.671531,49.735308,4454.000000,2.000000,0.009974,35867212.314534,0.000000
2.500000,2.500000,24.426800,52.656181,4194.000000,1.000000,0.008810,40203764.068530,0.000000
2.500000,3.500000,15.869137,34.569709,3859.000000,1.000000,0.013279,17328439.184193,0.000000
2.500000,4.500000,14.828032,34.199971,3710.000000,2.000000,0.012677,16959751.458034,0.000000
2.500000,5.500000,16.306410,33.164485,3479.000000,1.000000,0.014826,15948304.765107,0.000000
2.500000,6.500000,32.774883,36.426978,3416.000000,0.000000,0.024700,19240408.765513,0.000000
2.500000,7.500000,12.134820,22.871361,1973.000000,4.000000,0.023198,7584937.585177,0.000000
2.500000,8.500000,18.683351,39.104408,3676.000000,1.000000,0.012218,22172744.006292,0.000000

3.500000,0.500000,18.683351,39.104408,3676.000000,1.000000,0.012218,22172744.006292,0.000000
3.500000,1.500000,20.150185,51.897928,4328.000000,0.000000,0.007481,39054226.643427,0.000000
3.500000,2.500000,23.014447,45.976346,4084.000000,1.000000,0.010888,30650453.149515,0.000000
3.500000,3.500000,18.248230,36.507741,4097.000000,2.000000,0.013691,19325820.094168,0.000000
3.500000,4.500000,26.852351,39.206321,3637.000000,2.000000,0.017469,22288466.313162,0.000000
3.500000,5.500000,12.108085,29.397823,3488.000000,1.000000,0.014010,12531363.557263,0.000000
3.500000,6.500000,14.037405,25.985311,2513.000000,1.000000,0.020789,9790927.408262,0.000000
3.500000,7.500000,9.600713,19.821597,1683.000000,0.000000,0.024436,5696987.645721,0.000000
3.500000,8.500000,36.791387,43.666666,3576.000000,0.000000,0.019295,27648276.834940,0.000000

4.500000,0.500000,36.791387,43.666666,3576.000000,0.000000,0.019295,27648276.834940,0.000000
4.500000,1.500000,28.746641,54.065545,4168.000000,1.000000,0.009834,42384705.033910,0.000000
