#channel,mean,dev,hits_per_channel,hits_per_packet,photo_e,gain_pmt,rate_per_channel,gain_constant,normalized_rate
1,1593.100364,30.321507,3019.000000,160256.000000,1.732773,13331209.794910,0.655758,16,0.000000
2,41.232194,36.764352,3510.000000,23451.000000,0.030506,19598455.142612,0.762408,13,0.000000
3,42.970278,36.813238,3129.000000,6203.000000,0.031707,19650610.552874,0.679651,18,0.000000
4,44.907632,40.284974,3551.000000,1954.000000,0.027672,23531747.027919,0.771314,15,0.000000
5,46.128746,43.037530,3270.000000,716.000000,0.024904,26857320.357480,0.710278,17,0.000000
6,42.390721,36.094195,3578.000000,267.000000,0.032538,18890467.773372,0.777179,19,0.000000
7,43.172823,35.483605,3032.000000,149.000000,0.034289,18256750.293266,0.658582,10,0.000000
8,44.302819,33.485196,2731.000000,79.000000,0.039512,16258246.151668,0.593201,10,0.000000
9,43.344375,37.815996,3200.000000,37.000000,0.030310,20735718.197461,0.695073,11,0.000000
10,48.979714,45.483528,3500.000000,21.000000,0.023676,29996893.890245,0.760236,20,0.000000
11,45.626787,40.270769,3218.000000,20.000000,0.028135,23515155.431681,0.698983,17,0.000000
12,46.883366,43.960891,3541.000000,14.000000,0.024260,28022119.468786,0.769142,16,0.000000
13,47.660957,44.072307,3094.000000,8.000000,0.024538,28164339.522217,0.672049,13,0.000000
14,45.941883,40.451288,3080.000000,4.000000,0.028077,23726446.966763,0.669008,14,0.000000
15,48.525480,45.831633,3022.000000,4.000000,0.023101,30457809.166706,0.656410,15,0.000000
16,49.739189,43.255864,2983.000000,5.000000,0.026583,27130511.494513,0.647938,16,0.000000
17,44.914658,38.511945,3070.000000,0.000000,0.030283,21505963.773833,0.666836,17,0.000000
18,49.220460,44.992769,3089.000000,0.000000,0.024314,29353064.283177,0.670963,18,0.000000
19,49.197068,43.383547,3070.000000,0.000000,0.026139,27290916.520334,0.666836,19,0.000000
20,46.917736,38.292736,2650.000000,0.000000,0.031997,21261837.344535,0.575607,20,0.000000
21,48.276101,46.300032,3314.000000,0.000000,0.022520,31083547.472792,0.719835,11,0.000000
22,51.442284,43.159293,2469.000000,3.000000,0.027617,27009506.630210,0.536292,12,0.000000
23,46.808092,36.638582,2793.000000,1.000000,0.034869,19464592.011587,0.606668,13,0.000000
24,48.720670,44.053423,2685.000000,1.000000,0.025105,28140209.419182,0.583210,14,0.000000
25,49.118969,41.902854,2715.000000,0.000000,0.027974,25459813.373896,0.589726,15,0.000000
26,48.214498,39.195019,2690.000000,0.000000,0.031385,22275618.178922,0.584296,16,0.000000
27,45.914106,37.195755,3027.000000,0.000000,0.033186,20061100.489276,0.657496,17,0.000000
28,47.490370,37.316055,2596.000000,0.000000,0.034105,20191075.504257,0.563878,12,0.000000
29,49.068777,40.667448,2559.000000,1.000000,0.029670,23980698.898569,0.555841,14,0.000000
30,49.074507,40.323616,2483.000000,0.000000,0.030181,23576913.667307,0.539333,16,0.000000
31,55.207060,39.703522,1898.000000,1.000000,0.035022,22857360.151860,0.412265,11,0.000000
32,50.255845,37.177382,2267.000000,0.000000,0.036360,20041287.316203,0.492416,12,0.000000
33,46.089655,41.353133,2465.000000,0.000000,0.026952,24796183.448276,0.535423,14,0.000000
34,49.507488,40.620068,2938.000000,0.000000,0.030005,23924853.594724,0.638164,16,0.000000
35,52.930070,38.591418,2288.000000,1.000000,0.035540,21594814.581398,0.496977,15,0.000000
36,50.234506,37.977593,2388.000000,0.000000,0.034830,20913315.248072,0.518698,16,0.000000
37,52.787012,43.116421,2587.000000,0.000000,0.028395,26955873.533915,0.561923,12,0.000000
38,47.885636,33.861481,2186.000000,0.000000,0.041763,16625698.732850,0.474822,14,0.000000
39,53.395274,39.046827,2497.000000,0.000000,0.035021,22107493.604901,0.542374,11,0.000000
40,54.528145,48.682916,2647.000000,0.000000,0.023007,34365381.553188,0.574956,10,0.000000
41,56.695309,46.946143,2409.000000,0.000000,0.025725,31957135.399096,0.523260,11,0.000000
42,51.424542,43.707905,3439.000000,0.000000,0.026918,27700524.119069,0.746986,13,0.000000
43,55.554003,45.421475,2648.000000,0.000000,0.026927,29915100.462513,0.575173,15,0.000000
44,58.926158,44.374567,2397.000000,1.000000,0.029925,28551981.636934,0.520653,16,0.000000
45,58.089377,52.874205,2551.000000,0.000000,0.020778,40537382.407127,0.554104,15,0.000000
46,204.942938,236.329266,7448.000000,0.000000,0.003669,809847066.843930,1.617783,16,0.000000
47,97.000000,53.157448,7.000000,0.000000,0.034328,40972857.142857,0.001520,17,0.000000
48,78.512472,87.092277,5893.000000,0.000000,0.010351,109983438.288226,1.280020,17,0.000000
49,345.271414,352.754537,6993.000000,0.000000,0.002775,1804318572.201894,1.518952,14,0.000000
50,372.871457,384.185523,7585.000000,0.000000,0.002526,2140178485.460887,1.647540,10,0.000000
51,373.785024,388.695156,7452.000000,0.000000,0.002474,2190716901.815094,1.618651,15,0.000000
52,355.890018,375.672399,7574.000000,0.000000,0.002522,2046381392.010598,1.645151,12,0.000000
53,353.179694,379.411226,7702.000000,1.000000,0.002453,2087316736.550132,1.672954,13,0.000000
54,351.948585,378.017567,7527.000000,0.000000,0.002463,2072010576.456127,1.634942,14,0.000000
55,345.620187,374.242430,7480.000000,0.000000,0.002468,2030832248.288862,1.624733,15,0.000000
56,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,16,0.000000
57,182.823407,213.219477,6263.000000,0.000000,0.004021,659206910.263943,1.360388,17,0.000000
58,95.284476,104.673873,5997.000000,0.000000,0.008697,158870986.481207,1.302610,13,0.000000
59,106.256031,120.529944,6011.000000,0.000000,0.007314,210648278.331211,1.305651,17,0.000000
60,107.028375,120.184150,6097.000000,0.000000,0.007410,209441334.479628,1.324331,16,0.000000
61,109.237967,126.211619,6295.000000,0.000000,0.006858,230975905.024084,1.367339,11,0.000000
62,108.396815,121.021312,5965.000000,0.000000,0.007401,212369289.224219,1.295660,12,0.000000
63,101.318405,115.347830,5917.000000,0.000000,0.007615,192924267.166338,1.285234,13,0.000000
64,98.090231,110.375275,5497.000000,0.000000,0.008052,176649169.375731,1.194005,16,0.000000
