#channel,mean,dev,hits_per_channel,hits_per_packet,photo_e,gain_pmt,rate_per_channel,gain_constant,normalized_rate
1,0.000000,0.000000,0.000000,74201.000000,0.000000,0.000000,0.000000,16,0.000000
2,0.000000,0.000000,0.000000,12495.000000,0.000000,0.000000,0.000000,13,0.000000
3,0.000000,0.000000,0.000000,2539.000000,0.000000,0.000000,0.000000,18,0.000000
4,0.000000,0.000000,0.000000,610.000000,0.000000,0.000000,0.000000,15,0.000000
5,0.000000,0.000000,0.000000,195.000000,0.000000,0.000000,0.000000,17,0.000000
6,0.000000,0.000000,0.000000,61.000000,0.000000,0.000000,0.000000,19,0.000000
7,0.000000,0.000000,0.000000,30.000000,0.000000,0.000000,0.000000,10,0.000000
8,0.000000,0.000000,0.000000,15.000000,0.000000,0.000000,0.000000,10,0.000000
9,0.000000,0.000000,0.000000,10.000000,0.000000,0.000000,0.000000,11,0.000000
10,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,20,0.000000
11,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,17,0.000000
12,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,16,0.000000
13,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,13,0.000000
14,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,14,0.000000
15,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,15,0.000000
16,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,16,0.000000
17,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,17,0.000000
18,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,18,0.000000
19,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,19,0.000000
20,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,20,0.000000
21,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11,0.000000
22,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,12,0.000000
23,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13,0.000000
24,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,14,0.000000
25,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15,0.000000
26,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,16,0.000000
27,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,17,0.000000
28,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12,0.000000
29,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,14,0.000000
30,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,16,0.000000
31,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11,0.000000
32,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12,0.000000
33,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,14,0.000000
34,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,16,0.000000
35,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15,0.000000
36,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,16,0.000000
37,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12,0.000000
38,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,14,0.000000
39,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11,0.000000
40,248.493088,259.985632,5425.000000,0.000000,0.003676,980091665.597486,1.644824,10,0.000000
41,160.325347,169.045950,4758.000000,0.000000,0.005610,414359729.564119,1.442594,11,0.000000
42,411.983434,381.715744,5976.000000,0.000000,0.002827,2112750188.206010,1.811883,13,0.000000
43,457.139105,398.244872,5902.000000,0.000000,0.002882,2299685187.482193,1.789447,15,0.000000
44,408.374874,377.545690,5946.000000,0.000000,0.002865,2066840850.293307,1.802788,16,0.000000
45,379.883348,355.496044,5735.000000,0.000000,0.003006,1832472835.905136,1.738814,15,0.000000
46,350.912207,340.894625,5718.000000,0.000000,0.003020,1685032609.645894,1.733660,16,0.000000
47,310.493042,316.103270,5533.000000,0.000000,0.003107,1448858525.255839,1.677569,17,0.000000
48,283.606737,293.546709,5373.000000,0.000000,0.003291,1249460223.436357,1.629058,17,0.000000
49,93.377778,97.547877,3510.000000,0.000000,0.009813,137976030.902184,1.064209,14,0.000000
50,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10,0.000000
51,76.691194,60.500885,1726.000000,0.000000,0.020952,53075178.382995,0.523312,15,0.000000
52,144.573958,159.388851,4800.000000,0.000000,0.005691,368369683.812391,1.455328,12,0.000000
53,133.293066,149.478485,5091.000000,0.000000,0.005966,323985353.330570,1.543557,13,0.000000
54,123.009574,133.414732,4909.000000,0.000000,0.006911,258092617.228590,1.488376,14,0.000000
55,132.501420,149.183786,4930.000000,0.000000,0.005954,322709130.853120,1.494743,15,0.000000
56,109.046258,108.468395,4129.000000,0.000000,0.009268,170598193.118912,1.251885,16,0.000000
57,175.654923,193.668396,4428.000000,0.000000,0.004683,543857992.655549,1.342540,17,0.000000
58,129.620433,146.071334,4434.000000,0.000000,0.006075,309384100.301566,1.344359,13,0.000000
59,123.384079,118.303319,3731.000000,0.000000,0.008816,202937292.122094,1.131214,17,0.000000
60,117.550955,118.772835,3768.000000,0.000000,0.008333,204551300.727210,1.142433,16,0.000000
61,121.685885,125.023336,4180.000000,0.000000,0.007785,226647101.489177,1.267348,11,0.000000
62,108.652294,113.531752,3989.000000,0.000000,0.008430,186897151.067165,1.209438,12,0.000000
63,118.586626,122.757762,3619.000000,0.000000,0.007869,218507289.608794,1.097257,13,0.000000
64,104.202623,105.064727,3583.000000,0.000000,0.009440,160059655.870058,1.086342,16,0.000000
