#channel,mean,dev,hits_per_channel,hits_per_packet,photo_e,gain_pmt,rate_per_channel,gain_constant,normalized_rate
1,0.000000,0.000000,0.000000,67687.000000,0.000000,0.000000,0.000000,16,0.000000
2,0.000000,0.000000,0.000000,18814.000000,0.000000,0.000000,0.000000,13,0.000000
3,0.000000,0.000000,0.000000,6839.000000,0.000000,0.000000,0.000000,18,0.000000
4,0.000000,0.000000,0.000000,2348.000000,0.000000,0.000000,0.000000,15,0.000000
5,0.000000,0.000000,0.000000,900.000000,0.000000,0.000000,0.000000,17,0.000000
6,0.000000,0.000000,0.000000,354.000000,0.000000,0.000000,0.000000,19,0.000000
7,0.000000,0.000000,0.000000,166.000000,0.000000,0.000000,0.000000,10,0.000000
8,0.000000,0.000000,0.000000,69.000000,0.000000,0.000000,0.000000,10,0.000000
9,0.000000,0.000000,0.000000,53.000000,0.000000,0.000000,0.000000,11,0.000000
10,0.000000,0.000000,0.000000,26.000000,0.000000,0.000000,0.000000,20,0.000000
11,0.000000,0.000000,0.000000,14.000000,0.000000,0.000000,0.000000,17,0.000000
12,0.000000,0.000000,0.000000,10.000000,0.000000,0.000000,0.000000,16,0.000000
13,0.000000,0.000000,0.000000,5.000000,0.000000,0.000000,0.000000,13,0.000000
14,0.000000,0.000000,0.000000,5.000000,0.000000,0.000000,0.000000,14,0.000000
15,0.000000,0.000000,0.000000,4.000000,0.000000,0.000000,0.000000,15,0.000000
16,0.000000,0.000000,0.000000,4.000000,0.000000,0.000000,0.000000,16,0.000000
17,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,17,0.000000
18,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,18,0.000000
19,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,19,0.000000
20,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,0.000000
21,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,11,0.000000
22,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12,0.000000
23,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,13,0.000000
24,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,14,0.000000
25,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15,0.000000
26,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,16,0.000000
27,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,17,0.000000
28,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12,0.000000
29,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,14,0.000000
30,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,16,0.000000
31,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11,0.000000
32,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12,0.000000
33,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,14,0.000000
34,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,16,0.000000
35,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15,0.000000
36,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,16,0.000000
37,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12,0.000000
38,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,14,0.000000
39,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11,0.000000
40,104.010154,101.213110,5909.000000,0.000000,0.010153,148539357.956679,1.791569,10,0.000000
41,242.475675,243.787788,6187.000000,0.000000,0.004080,861771042.620287,1.875857,11,0.000000
42,249.494908,228.546275,7757.000000,0.000000,0.004777,757384294.857349,2.351871,13,0.000000
43,270.534665,256.227844,7962.000000,0.000000,0.004121,951964267.514785,2.414025,15,0.000000
44,254.968608,231.074876,7677.000000,0.000000,0.004775,774236174.000132,2.327615,16,0.000000
45,206.737100,209.923455,7539.000000,0.000000,0.004691,638983927.562914,2.285775,15,0.000000
46,215.475263,226.099655,7600.000000,0.000000,0.004215,741255284.289530,2.304269,16,0.000000
47,190.003255,197.769062,7374.000000,0.000000,0.004858,567132726.227313,2.235748,17,0.000000
48,202.195258,216.924903,6622.000000,0.000000,0.004297,682317998.841066,2.007746,17,0.000000
49,13.415080,32.919624,3939.000000,0.000000,0.012379,15713674.251661,1.194279,14,0.000000
50,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10,0.000000
51,12.101491,25.308185,2079.000000,0.000000,0.018894,9287311.492570,0.630339,15,0.000000
52,50.046302,64.658454,6544.000000,0.000000,0.011971,60620378.055802,1.984097,12,0.000000
53,33.677374,61.953342,6351.000000,0.000000,0.008774,55654140.800269,1.925581,13,0.000000
54,63.677249,58.015498,5859.000000,0.000000,0.018919,48804071.483206,1.776410,14,0.000000
55,42.394314,59.413560,5663.000000,0.000000,0.012010,51184581.772412,1.716984,15,0.000000
56,46.893923,65.142607,5496.000000,0.000000,0.011051,61531609.121547,1.666351,16,0.000000
57,84.682963,85.310693,4766.000000,0.000000,0.011636,105529758.575373,1.445019,17,0.000000
58,64.920545,76.912641,5651.000000,0.000000,0.010975,85775537.286933,1.713346,13,0.000000
