#x,y,mean,dev,hits_per_channel,hits_per_packet,photo_e,gain_pmt,norm_mean
0.500000,0.500000,1562.540689,34.287281,2556.000000,121833.000000,1.329123,17046456.236943,0.000000
0.500000,1.500000,13.580821,34.991933,3118.000000,21353.000000,0.011091,17754313.371561,0.000000
0.500000,2.500000,14.315708,34.266017,3234.000000,6864.000000,0.012192,17025318.618631,0.000000
0.500000,3.500000,18.365385,37.973116,3484.000000,3186.000000,0.012736,20908384.855546,0.000000
0.500000,4.500000,17.109910,33.869615,3239.000000,1544.000000,0.014915,16633687.325646,0.000000
0.500000,5.500000,10.326685,30.843923,2908.000000,764.000000,0.010855,13794539.664826,0.000000
0.500000,6.500000,12.435063,26.007265,2795.000000,366.000000,0.018385,9807478.214821,0.000000
0.500000,7.500000,10.979304,22.427632,2271.000000,192.000000,0.021828,7293480.502911,0.000000
0.500000,8.500000,14.020814,34.996746,3171.000000,99.000000,0.011448,17759197.668964,0.000000

1.500000,0.500000,14.020814,34.996746,3171.000000,99.000000,0.011448,17759197.668964,0.000000
1.500000,1.500000,44.368572,58.043097,3831.000000,75.000000,0.013170,48850515.259860,0.000000
1.500000,2.500000,20.392793,48.044397,3885.000000,38.000000,0.008835,33469829.602131,0.000000
1.500000,3.500000,13.420792,37.650683,3636.000000,29.000000,0.009467,20554822.180757,0.000000
1.500000,4.500000,38.194915,40.339050,3304.000000,9.000000,0.023472,23594965.355285,0.000000
1.500000,5.500000,12.348061,31.056735,3327.000000,25.000000,0.012802,13985551.509273,0.000000
1.500000,6.500000,13.406922,31.113962,3207.000000,6.000000,0.013849,14037140.070482,0.000000
1.500000,7.500000,12.012478,24.716418,2324.000000,9.000000,0.019664,8858068.839870,0.000000
1.500000,8.500000,17.804886,48.019831,3193.000000,10.000000,0.007721,33435610.566996,0.000000

2.500000,0.500000,17.804886,48.019831,3193.000000,10.000000,0.007721,33435610.566996,0.000000
2.500000,1.500000,25.923972,59.699231,3867.000000,3.000000,0.007274,51677974.004532,0.000000
2.500000,2.500000,26.379198,55.036045,3692.000000,5.000000,0.008709,43920011.235372,0.000000
2.500000,3.500000,19.063792,41.460239,3386.000000,1.000000,0.011090,24924795.508652,0.000000
2.500000,4.500000,15.633154,34.716601,3342.000000,1.000000,0.012971,17476014.782673,0.000000
2.500000,5.500000,16.024273,32.473951,3131.000000,3.000000,0.015195,15291083.930808,0.000000
2.500000,6.500000,31.385989,32.293212,2969.000000,3.000000,0.030096,15121347.493499,0.000000
2.500000,7.500000,13.084482,23.812525,1669.000000,1.000000,0.023075,8222027.000547,0.000000
2.500000,8.500000,20.355094,41.572167,3033.000000,0.000000,0.011778,25059554.050035,0.000000

3.500000,0.500000,20.355094,41.572167,3033.000000,0.000000,0.011778,25059554.050035,0.000000
3.500000,1.500000,20.745921,47.618533,3739.000000,0.000000,0.009149,32879108.360314,0.000000
3.500000,2.500000,22.562874,42.183932,3507.000000,0.000000,0.012679,25802519.621734,0.000000
3.500000,3.500000,18.698037,39.711745,3464.000000,0.000000,0.011857,22866829.590432,0.000000
3.500000,4.500000,27.551040,37.391764,3076.000000,0.000000,0.019705,20273087.881002,0.000000
3.500000,5.500000,11.167184,25.965824,2901.000000,1.000000,0.016563,9776248.581508,0.000000
3.500000,6.500000,14.017994,26.045309,2223.000000,1.000000,0.020665,9836192.937098,0.000000
3.500000,7.500000,8.904382,17.532099,1506.000000,0.000000,0.028969,4456930.186731,0.000000
3.500000,8.500000,38.897024,45.803191,2991.000000,0.000000,0.018541,30420017.776393,0.000000

4.500000,0.500000,38.897024,45.803191,2991.000000,0.000000,0.018541,30420017.776393,0.000000
4.500000,1.500000,26.619163,49.178944,3705.000000,0.000000,0.011006,35069243.281382,0.000000
4.500000,2.500000,20.541306,41.385265,3353.000000,0.000000,0.011993,24834731.774580,0.000000
4.500000,3.500000,20.964337,38.509371,2776.000000,1.000000,0.014137,21503088.464234,0.000000
4.500000,4.500000,18.016974,39.239161,2769.000000,0.000000,0.011702,22325820.317729,0.000000
4.500000,5.500000,12.422387,27.665857,2287.000000,0.000000,0.016230,11098295.173744,0.000000
4.500000,6.500000,14.557418,27.079819,2386.000000,0.000000,0.019851,10633090.750746,0.000000
4.500000,7.500000,11.343416,20.665104,1124.000000,1.000000,0.026562,6192174.636732,0.000000
4.500000,8.500000,19.563333,38.098043,2700.000000,0.000000,0.013478,21046182.527582,0.000000

5.500000,0.500000,19.563333,38.098043,2700.000000,0.000000,0.013478,21046182.527582,0.000000
5.500000,1.500000,42.948487,62.399087,3669.000000,0.000000,0.011030,56457868.283391,0.000000
5.500000,2.500000,26.075397,50.194308,3276.000000,0.000000,0.010350,36532294.455140,0.000000
5.500000,3.500000,27.740634,48.231433,3123.000000,0.000000,0.011925,33730931.544367,0.000000
